,online_order,book_table,rate,votes,location,rest_type,cuisines,cost,menu_item
0,1,1,4.1,775,1,27,2152,800.0,9062
1,1,0,4.1,787,1,27,950,800.0,9062
2,1,0,3.8,918,1,22,764,800.0,9062
3,0,0,3.7,88,1,78,2547,300.0,9062
4,0,0,3.8,166,4,27,2181,600.0,9062
5,1,0,3.8,286,4,27,1818,600.0,9062
6,0,0,3.6,8,57,27,2203,800.0,9062
7,1,1,4.6,2556,1,29,2316,600.0,9062
8,1,0,4.0,324,1,19,740,700.0,9062
9,1,0,4.2,504,1,19,765,550.0,9062
10,1,0,4.1,402,1,19,577,500.0,9062
11,1,1,4.2,150,1,19,740,600.0,9062
12,1,1,4.2,164,1,19,636,500.0,9062
13,0,0,4.0,424,1,19,643,450.0,9062
14,1,0,3.8,918,1,22,764,800.0,9062
15,1,0,3.8,90,1,19,577,650.0,9062
16,1,0,3.9,133,1,19,713,800.0,9062
17,1,0,3.8,144,1,19,839,700.0,9062
18,0,0,3.9,93,1,19,734,300.0,9062
19,1,0,3.1,13,1,19,636,400.0,9062
20,1,0,3.0,62,1,19,721,400.0,9062
21,1,0,3.7,180,1,19,781,500.0,9062
22,0,0,3.6,28,1,19,706,900.0,9062
23,1,0,3.6,62,1,81,1539,600.0,9062
24,0,0,3.7,31,1,19,577,300.0,9062
25,0,0,3.2,11,1,19,598,600.0,9062
26,1,0,3.8,75,1,26,793,200.0,9062
27,0,0,3.3,4,1,19,707,500.0,9062
28,0,0,3.3,23,1,19,706,550.0,9062
29,0,0,3.8,148,4,29,1888,550.0,9062
30,1,0,4.0,219,4,19,733,600.0,9062
31,1,0,2.8,506,1,78,2081,500.0,9062
32,1,0,3.9,35,1,39,271,500.0,2878
33,1,0,3.9,172,1,39,2306,750.0,9062
34,1,0,4.2,415,1,78,1875,500.0,2996
35,1,0,3.9,230,1,39,403,650.0,9062
36,1,0,2.8,91,1,78,1946,400.0,9062
37,1,0,4.2,1647,1,27,985,600.0,9062
38,1,0,4.4,4884,32,27,2174,750.0,9062
39,1,0,4.0,17,1,78,2455,150.0,904
40,1,0,3.8,133,4,78,2638,200.0,9062
41,0,0,3.9,28,1,65,2455,300.0,9062
42,1,0,3.9,286,1,78,554,500.0,9062
43,1,0,3.9,540,1,78,2322,800.0,9062
44,1,1,4.6,2556,1,29,2316,600.0,9062
45,0,0,3.8,36,1,39,2054,400.0,9062
46,1,0,3.6,244,49,78,1892,300.0,281
47,1,0,4.0,804,49,27,1924,450.0,8452
48,1,0,3.7,679,68,27,979,850.0,9062
49,1,0,3.1,245,49,78,1981,300.0,8407
50,0,0,3.7,21,1,78,1818,450.0,9062
51,1,0,4.1,28,87,78,1381,150.0,8918
52,0,0,4.3,345,1,40,1496,400.0,9062
53,1,0,4.0,618,32,27,489,750.0,9062
54,0,0,4.0,1047,1,78,1533,450.0,9062
55,1,0,3.9,627,1,39,1446,450.0,18
56,1,0,3.8,104,1,78,445,300.0,9062
57,1,1,4.2,354,1,27,223,800.0,9062
58,0,0,3.6,55,1,78,1277,200.0,9062
59,1,0,3.7,17,1,40,1198,400.0,9062
60,0,0,4.2,244,1,27,1556,800.0,9062
61,1,1,3.6,163,49,27,1433,800.0,9062
62,1,0,3.8,58,4,78,814,150.0,9062
63,0,1,4.0,808,1,27,1892,850.0,9062
64,0,0,3.7,78,1,3,260,150.0,9062
65,1,0,4.1,1720,4,78,2116,400.0,9062
66,1,0,3.6,34,32,78,2455,100.0,7928
67,0,0,4.1,868,1,73,1107,1200.0,9062
68,0,0,3.8,39,1,0,271,300.0,9062
69,1,0,3.2,71,4,78,555,600.0,9062
70,1,0,3.6,6,1,92,1551,500.0,9062
71,0,0,4.1,520,1,78,430,300.0,9062
72,0,0,0.0,0,1,78,1818,150.0,9062
73,0,0,2.9,84,1,39,847,700.0,9062
74,0,0,3.6,299,1,78,1366,300.0,9062
75,0,0,0.0,0,1,92,2638,500.0,9062
76,1,0,4.1,558,4,78,2455,150.0,908
